step,time_hours,time_seconds,time_minutes,Explore-Inner_P_load_kW,Explore-Inner_P_pv_kW,Explore-Inner_P_station_used_kW,Explore-Inner_P_bat_kW,Explore-Inner_unmet_kW,Explore-Mid_P_load_kW,Explore-Mid_P_pv_kW,Explore-Mid_P_station_used_kW,Explore-Mid_P_bat_kW,Explore-Mid_unmet_kW,Explore-Outer_P_load_kW,Explore-Outer_P_pv_kW,Explore-Outer_P_station_used_kW,Explore-Outer_P_bat_kW,Explore-Outer_unmet_kW,Drone-3m_P_load_kW,Drone-3m_P_pv_kW,Drone-3m_P_station_used_kW,Drone-3m_P_bat_kW,Drone-3m_unmet_kW,Drone-6m_P_load_kW,Drone-6m_P_pv_kW,Drone-6m_P_station_used_kW,Drone-6m_P_bat_kW,Drone-6m_unmet_kW,Drone-9m_P_load_kW,Drone-9m_P_pv_kW,Drone-9m_P_station_used_kW,Drone-9m_P_bat_kW,Drone-9m_unmet_kW
42,0.0011666666666666668,4.2,0.07,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
43,0.0011944444444444446,4.300000000000001,0.07166666666666668,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
44,0.0012222222222222222,4.4,0.07333333333333333,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
45,0.00125,4.5,0.075,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
46,0.0012777777777777779,4.6000000000000005,0.07666666666666667,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
47,0.0013055555555555557,4.7,0.07833333333333334,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
48,0.0013333333333333335,4.800000000000001,0.08000000000000002,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
49,0.0013611111111111111,4.9,0.08166666666666668,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
50,0.001388888888888889,5.0,0.08333333333333333,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
51,0.0014166666666666668,5.1000000000000005,0.085,0.02,0.0,0.0,0.02,0.0,0.213426,0.0,0.0,0.213426,0.0,0.213426,0.0,0.0,0.213426,0.0,0.0120268,0.0,0.0,0.0120268,0.0,0.0120268,0.0,0.0,0.0120268,0.0,0.0120268,0.0,0.0,0.0120268,0.0
52,0.0014444444444444446,5.2,0.08666666666666667,0.02,0.0,0.0,0.02,0.0,0.213942,0.0,0.0,0.213942,0.0,0.213942,0.0,0.0,0.213942,0.0,0.0120436,0.0,0.0,0.0120436,0.0,0.0120436,0.0,0.0,0.0120436,0.0,0.0120436,0.0,0.0,0.0120436,0.0
53,0.0014722222222222222,5.3,0.08833333333333333,0.02,0.0,0.0,0.02,0.0,0.214458,0.0,0.0,0.214458,0.0,0.214458,0.0,0.0,0.214458,0.0,0.0120604,0.0,0.0,0.0120604,0.0,0.0120604,0.0,0.0,0.0120604,0.0,0.0120604,0.0,0.0,0.0120604,0.0
54,0.0015,5.4,0.09000000000000001,0.02,0.0,0.0,0.02,0.0,0.214974,0.0,0.0,0.214974,0.0,0.214974,0.0,0.0,0.214974,0.0,0.0120772,0.0,0.0,0.0120772,0.0,0.0120772,0.0,0.0,0.0120772,0.0,0.0120772,0.0,0.0,0.0120772,0.0
55,0.0015277777777777779,5.5,0.09166666666666666,0.02,0.0,0.0,0.02,0.0,0.21549000000000001,0.0,0.0,0.21549000000000001,0.0,0.21549000000000001,0.0,0.0,0.21549000000000001,0.0,0.012094,0.0,0.0,0.012094,0.0,0.012094,0.0,0.0,0.012094,0.0,0.012094,0.0,0.0,0.012094,0.0
56,0.0015555555555555557,5.6000000000000005,0.09333333333333334,0.02,0.0,0.0,0.02,0.0,0.216006,0.0,0.0,0.216006,0.0,0.216006,0.0,0.0,0.216006,0.0,0.0121108,0.0,0.0,0.0121108,0.0,0.0121108,0.0,0.0,0.0121108,0.0,0.0121108,0.0,0.0,0.0121108,0.0
57,0.0015833333333333335,5.700000000000001,0.09500000000000001,0.02,0.0,0.0,0.02,0.0,0.216522,0.0,0.0,0.216522,0.0,0.216522,0.0,0.0,0.216522,0.0,0.0121276,0.0,0.0,0.0121276,0.0,0.0121276,0.0,0.0,0.0121276,0.0,0.0121276,0.0,0.0,0.0121276,0.0
58,0.0016111111111111111,5.8,0.09666666666666666,0.02,0.0,0.0,0.02,0.0,0.217038,0.0,0.0,0.217038,0.0,0.217038,0.0,0.0,0.217038,0.0,0.0121444,0.0,0.0,0.0121444,0.0,0.0121444,0.0,0.0,0.0121444,0.0,0.0121444,0.0,0.0,0.0121444,0.0
59,0.001638888888888889,5.9,0.09833333333333334,0.02,0.0,0.0,0.02,0.0,0.21755400000000003,0.0,0.0,0.21755400000000003,0.0,0.21755400000000003,0.0,0.0,0.21755400000000003,0.0,0.0121612,0.0,0.0,0.0121612,0.0,0.0121612,0.0,0.0,0.0121612,0.0,0.0121612,0.0,0.0,0.0121612,0.0
60,0.0016666666666666668,6.0,0.1,0.02,0.0,0.0,0.02,0.0,0.21806999999999999,0.0,0.0,0.21806999999999999,0.0,0.21806999999999999,0.0,0.0,0.21806999999999999,0.0,0.012178,0.0,0.0,0.012178,0.0,0.012178,0.0,0.0,0.012178,0.0,0.012178,0.0,0.0,0.012178,0.0
61,0.0016944444444444446,6.1000000000000005,0.10166666666666667,0.02,0.0,0.0,0.02,0.0,0.218586,0.0,0.0,0.218586,0.0,0.218586,0.0,0.0,0.218586,0.0,0.0121948,0.0,0.0,0.0121948,0.0,0.0121948,0.0,0.0,0.0121948,0.0,0.0121948,0.0,0.0,0.0121948,0.0
62,0.0017222222222222222,6.2,0.10333333333333333,0.02,0.0,0.0,0.02,0.0,0.219102,0.0,0.0,0.219102,0.0,0.219102,0.0,0.0,0.219102,0.0,0.0122116,0.0,0.0,0.0122116,0.0,0.0122116,0.0,0.0,0.0122116,0.0,0.0122116,0.0,0.0,0.0122116,0.0
