time(millisecond),datetime(utc),aligned_time_s,aligned_phase,ideal_flight_phase,original_time(millisecond),original_datetime(utc),original_height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),original_altitude_above_seaLevel(feet),original_height_sonar(feet),original_speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),xSpeed(mph),ySpeed(mph),original_zSpeed(mph),compass_heading(degrees),original_pitch(degrees),original_roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),original_altitude(feet),original_ascent(feet),flycStateRaw,flycState,height_above_takeoff(feet),height_above_takeoff(m),ascent(feet),altitude(feet),altitude_above_seaLevel(feet),height_sonar(feet),zSpeed(mph),speed(mph),pitch(degrees),roll(degrees),estimated_pack_voltage(V),estimated_power(W)
2209,2026-05-09 10:19:30.208,2.208768267223382,0.04175365344467641,ground,54900,2026-05-09 10:20:27,0.0,,,-9.863457664712,0.328084,0.0,0.0068705054692,0.174108929456,15,5,14.952,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,210.0,6.1,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.702,3.7,3.7,3.7,0,0,0.893,77.72,-9.863457664712,0.0,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.1,-1.4,14.952,13.352136
2319,2026-05-09 10:19:30.319,2.3192066805845513,0.04384133611691023,ground,55000,2026-05-09 10:20:27,0.0,,,-9.863457664712,0.328084,0.0,0.0237606306816,0.20413878606,15,5,14.819,0.0,0.0,0.0,0.0257166346812,0.0,0.0,0.0,209.7,3.2,-1.3,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.728,3.725,3.724,3.723,0,0,4.09,77.72,-9.863457664712,0.0,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,3.2,-1.3,14.819,60.60971
2430,2026-05-09 10:19:30.429,2.4296450939457204,0.04592901878914406,ground,55100,2026-05-09 10:20:27,0.0,,,-9.863457664712,0.328084,0.223694,0.068285435256,0.25169456186,15,5,14.819,0.0,0.0,0.223694,0.068285435256,0.223694,0.0,-0.223694,209.6,-0.5,-0.7,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.728,3.725,3.724,3.723,0,0,4.09,77.72,-9.863457664712,0.0,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.223694,-0.5,-0.7,14.819,60.60971
2540,2026-05-09 10:19:30.540,2.540083507306889,0.04801670146137787,ground,55200,2026-05-09 10:20:27,0.0,,,-9.863457664712,0.656168,0.223694,0.110468507472,0.29396654484,15,5,14.819,0.0,0.0,0.223694,0.110468507472,0.223694,0.0,-0.671082,210.1,-1.6,-0.2,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.728,3.725,3.724,3.723,0,0,4.09,77.72,-9.863457664712,0.0,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.223694,-1.6,-0.2,14.819,60.60971
2651,2026-05-09 10:19:30.650,2.6505219206680586,0.05010438413361169,ground,55300,2026-05-09 10:20:27,0.328084,,,-9.535373664712,0.656168,0.0,0.192398956288,0.37622704616,15,5,14.819,0.0,0.328084,0.223694,0.192398956288,0.0,0.0,-1.11847,210.2,-1.3,-0.1,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.728,3.725,3.724,3.723,0,0,4.09,77.72,-9.535373664712,0.328084,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,-1.3,-0.1,14.819,60.60971
2761,2026-05-09 10:19:30.760,2.7609603340292272,0.05219206680584551,ground,55400,2026-05-09 10:20:27,0.328084,,,-9.535373664712,0.656168,0.0,0.214200466172,0.39910434348,15,5,14.819,0.0,0.328084,0.223694,0.214200466172,0.0,0.0,-1.11847,210.2,-0.7,0.0,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.728,3.725,3.724,3.723,0,0,4.09,77.72,-9.535373664712,0.328084,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,-0.7,0.0,14.819,60.60971
2871,2026-05-09 10:19:30.871,2.871398747390397,0.054279749478079335,ground,55500,2026-05-09 10:20:27,0.656168,,,-9.207289664712,0.984252,0.0,0.2462434462,0.43118767784,15,5,14.819,0.0,0.656168,0.223694,0.2462434462,0.0,0.0,-1.11847,210.3,-0.3,-0.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.728,3.725,3.724,3.723,0,0,4.09,77.72,-9.207289664712,0.656168,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,-0.3,-0.4,14.819,60.60971
2982,2026-05-09 10:19:30.981,2.981837160751566,0.05636743215031316,ground,55600,2026-05-09 10:20:27,0.656168,,,-9.207289664712,0.984252,0.0,0.2656906253,0.46468833508,15,5,14.819,0.0,0.656168,0.223694,0.2656906253,0.0,0.0,-1.11847,210.3,-0.4,-0.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.728,3.725,3.724,3.723,0,0,4.09,77.72,-9.207289664712,0.656168,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,-0.4,-0.4,14.819,60.60971
3092,2026-05-09 10:19:31.092,3.0922755741127346,0.05845511482254697,ground,55700,2026-05-09 10:20:27,0.984252,,,-8.879205664712,0.984252,0.0,0.286315954044,0.49432088196,14,5,14.819,0.0,0.984252,0.223694,0.286315954044,0.0,0.0,-0.894776,210.2,-0.7,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.728,3.725,3.724,3.723,0,0,4.09,77.72,-8.879205664712,0.984252,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,-0.7,-0.3,14.819,60.60971
3203,2026-05-09 10:19:31.202,3.202713987473904,0.060542797494780795,ground,55800,2026-05-09 10:20:27,0.984252,,,-8.879205664712,1.312336,0.0,0.303532161944,0.51153873028,14,5,14.819,0.0,0.984252,0.223694,0.303532161944,0.0,0.0,-0.894776,210.3,-0.7,-0.3,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.728,3.725,3.724,3.723,0,0,4.09,77.72,-8.879205664712,0.984252,11,AutoTakeoff,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,-0.7,-0.3,14.819,60.60971
