Time,WindSpeed,WindDirection,Temperature,Power,hour_sin,hour_cos,doy_sin,doy_cos,WindDir_sin,WindDir_cos,WindSpeed_diff
2020-04-05 18:45:00,5.466667,350.266667,11.393333,4.611333,-0.9807852804032304,0.1950903220161283,0.9966589017541702,-0.08167639533042241,-0.16906280431765575,0.9856052801178827,0.0066670000000002005
2020-04-05 19:00:00,5.48,347.733333,10.16,4.106,-0.9659258262890684,0.2588190451025203,0.9966589017541702,-0.08167639533042241,-0.21246193386658177,0.9771693438998545,0.013333000000000261
2020-04-05 19:15:00,6.093333,348.4,9.106667,5.131333,-0.9469301294951057,0.3214394653031615,0.9966589017541702,-0.08167639533042241,-0.20107792114596473,0.9795752495993441,0.6133329999999999
2020-04-05 19:30:00,6.54,347.933333,8.7,6.466667,-0.923879532511287,0.38268343236508917,0.9966589017541702,-0.08167639533042241,-0.20904968192257709,0.9779050211999473,0.4466669999999997
2020-04-05 19:45:00,6.586667,349.8,9.12,6.942,-0.8968727415326885,0.442288690219001,0.9966589017541702,-0.08167639533042241,-0.17708474031958313,0.984195607969242,0.046667000000000236
2020-04-05 20:00:00,6.6,283.933333,8.3,6.736,-0.8660254037844386,0.5000000000000001,0.9966589017541702,-0.08167639533042241,-0.9705765597008652,0.2407927361014713,0.013332999999999373
2020-04-05 20:15:00,6.473333,144.333333,8.18,6.259333,-0.8314696123025455,0.5555702330196018,0.9966589017541702,-0.08167639533042241,0.5830686663106195,-0.8124228765653732,-0.12666699999999942
2020-04-05 20:30:00,6.133333,74.2,8.16,4.902,-0.7933533402912357,0.6087614290087199,0.9966589017541702,-0.08167639533042241,0.9622179935292854,0.27228024704057435,-0.33999999999999986
2020-04-05 20:45:00,5.2,11.6,8.926667,4.025333,-0.7518398074789772,0.6593458151000691,0.9966589017541702,-0.08167639533042241,0.20107792114596468,0.9795752495993441,-0.9333330000000002
2020-04-05 21:00:00,5.066667,14.933333,8.32,3.662,-0.7071067811865477,0.7071067811865474,0.9966589017541702,-0.08167639533042241,0.2576949587998569,0.9662263234921413,-0.13333300000000037
2020-04-05 21:15:00,5.113333,9.933333,8.253333,3.448667,-0.6593458151000687,0.7518398074789775,0.9966589017541702,-0.08167639533042241,0.17250217879509164,0.9850091361560797,0.046666000000000096
2020-04-05 21:30:00,5.16,98.2,8.233333,2.742667,-0.6087614290087209,0.7933533402912349,0.9966589017541702,-0.08167639533042241,0.989776230907789,-0.14262893370551158,0.046667000000000236
2020-04-05 21:45:00,5.24,309.2,7.573333,2.110667,-0.555570233019603,0.8314696123025448,0.9966589017541702,-0.08167639533042241,-0.7749444887041796,0.6320293026648508,0.08000000000000007
2020-04-05 22:00:00,4.833333,351.866667,7.52,1.705333,-0.5000000000000004,0.8660254037844384,0.9966589017541702,-0.08167639533042241,-0.14147717471752244,0.9899415179867685,-0.40666700000000056
2020-04-05 22:15:00,4.513333,352.6,9.326667,1.358667,-0.4422886902190014,0.8968727415326883,0.9966589017541702,-0.08167639533042241,-0.1287955965775621,0.9916711623830905,-0.3199999999999994
2020-04-05 22:30:00,4.516667,348.833333,9.266667,1.266667,-0.38268343236508956,0.9238795325112868,0.9966589017541702,-0.08167639533042241,-0.19366362751329844,0.9810679891722033,0.003333999999999726
2020-04-05 22:45:00,4.2,198.222222,8.177778,0.823,-0.32143946530316186,0.9469301294951056,0.9966589017541702,-0.08167639533042241,-0.31270333888477625,-0.9498508418958804,-0.3166669999999998
2020-04-05 23:00:00,1.06,71.266667,2.426667,0.604667,-0.25881904510252157,0.9659258262890681,0.9966589017541702,-0.08167639533042241,0.947023594249804,0.32116399538893314,-3.14
2020-04-05 23:15:00,2.513333,95.733333,7.26,0.837333,-0.19509032201612872,0.9807852804032303,0.9966589017541702,-0.08167639533042241,0.9949976202623565,-0.09989862697878958,1.4533329999999998
2020-04-05 23:30:00,1.473333,118.333333,4.833333,1.729333,-0.13052619222005168,0.9914448613738104,0.9966589017541702,-0.08167639533042241,0.8802013939412242,-0.4746003646268361,-1.0399999999999998
2020-04-05 23:45:00,3.606667,253.666667,7.28,2.737333,-0.0654031292301428,0.9978589232386035,0.9966589017541702,-0.08167639533042241,-0.9596418459184501,-0.28122504789266123,2.1333339999999996
2020-04-06 00:00:00,3.257143,202.714286,8.521429,2.159286,0.0,1.0,0.9951053111006976,-0.09882013873287143,-0.3861360538856452,-0.9224418398412022,-0.3495239999999997
