Time,dcVoltage,totalActivePower,L1_acCurrent,L1_acVoltage,L2_acCurrent,L2_acVoltage,L3_acCurrent,L3_acVoltage,L1_acFrequency,L2_acFrequency,L3_acFrequency,Irradiance,Temperature,WindSpeed,hour_sin,hour_cos,doy_sin,doy_cos,Irr_diff,ClearSkyIndex
2023-03-16 12:00:00,747.875,32007.0,47.2031,222.922,47.0625,226.734,47.1172,226.875,50.0427,50.0413,50.0416,965.082,23.8304,3.5946599999999997,1.2246467991473532e-16,-1.0,0.9611297838723007,0.27609697309746883,-89.21600000000001,0.965082
2023-03-16 12:05:00,747.812,39399.0,57.6016,224.938,57.5938,228.688,57.6641,228.578,50.0335,50.0297,50.0316,1099.7,23.776400000000002,3.6649000000000003,-0.021814885034560975,-0.9997620270799091,0.9611297838723007,0.27609697309746883,134.61800000000005,1.0999617611122803
2023-03-16 12:10:00,748.5,30868.0,45.25,221.5,45.7656,225.094,45.6797,225.875,50.0296,50.0316,50.0266,1005.024,23.8594,3.56422,-0.04361938736533538,-0.9990482215818578,0.9611297838723007,0.27609697309746883,-94.67600000000004,1.0059814714535804
2023-03-16 12:15:00,748.125,38840.0,56.9688,225.297,56.625,228.891,56.6797,228.859,50.0222,50.0221,50.0222,1090.0400000000002,23.859199999999998,3.8384799999999997,-0.06540312923014287,-0.9978589232386035,0.9611297838723007,0.27609697309746883,85.01600000000019,1.092378867006789
2023-03-16 12:20:00,748.125,40537.0,59.3516,225.422,58.8828,228.469,59.0547,229.406,50.021,50.0202,50.0194,1038.086,23.9104,3.0505400000000003,-0.08715574274765794,-0.9961946980917455,0.9611297838723007,0.27609697309746883,-51.95400000000018,1.0420513198760233
2023-03-16 12:25:00,748.125,38443.0,56.3594,225.469,56.0312,228.969,56.4531,229.062,49.9689,49.9686,49.9669,962.132,23.984199999999998,3.4635399999999996,-0.10886687485196432,-0.9940563382223196,0.9611297838723007,0.27609697309746883,-75.95400000000006,0.9678847797707218
2023-03-16 12:30:00,748.0,31506.0,46.5312,221.984,46.2812,225.641,46.3672,226.656,49.9648,49.9633,49.9624,986.7139999999999,23.6018,3.67964,-0.13052619222005177,-0.9914448613738104,0.9611297838723007,0.27609697309746883,24.581999999999994,0.9952283162098848
2023-03-16 12:35:00,748.125,37604.0,55.1953,226.297,54.9375,229.469,54.9609,229.547,49.9658,49.9632,49.9652,1139.3,23.615199999999998,4.4018,-0.15212338618991683,-0.9883615104677607,0.9611297838723007,0.27609697309746883,152.586,1.1527158716053247
2023-03-16 12:40:00,747.75,36731.0,53.7812,225.031,53.6875,228.859,53.6094,229.703,50.0247,50.0268,50.0256,1037.52,23.7966,4.155279999999999,-0.17364817766693003,-0.9848077530122081,0.9611297838723007,0.27609697309746883,-101.77999999999997,1.0535254183636982
2023-03-16 12:45:00,748.0,31870.0,46.9766,223.859,46.75,227.344,46.8125,227.688,50.0036,50.0008,50.0015,915.36,23.488,3.88994,-0.19509032201612792,-0.9807852804032305,0.9611297838723007,0.27609697309746883,-122.15999999999997,0.9332929625775663
