step,time_hours,Explore-Inner_x,Explore-Inner_y,Explore-Mid_x,Explore-Mid_y,Explore-Outer_x,Explore-Outer_y,Drone-3m_x,Drone-3m_y,Drone-6m_x,Drone-6m_y,Drone-9m_x,Drone-9m_y
10,0.0002777777777777778,14.2255,8.438,8.583683550058987,10.37704595885077,10.380862230327153,0.6069560199749616,7.607716981132075,6.207579245283019,10.299711320754717,11.607986792452829,16.33108679245283,6.319730188679245
11,0.00030555555555555555,14.2255,8.438,8.487507550273795,10.404435319290888,10.280868453359869,0.6080716219724578,7.609058679245283,6.217117169811321,10.31077245283019,11.602075471698113,16.31099547169811,6.32125320754717
12,0.0003333333333333334,14.2255,8.438,8.391331550488603,10.431824679731005,10.180874676392584,0.609187223969954,7.6104003773584905,6.2266550943396215,10.321833584905661,11.596164150943396,16.290904150943398,6.322776226415095
13,0.00036111111111111115,14.2255,8.438,8.295155550703411,10.459214040171123,10.0808808994253,0.6103028259674501,7.611742075471698,6.236193018867924,10.332894716981132,11.59025283018868,16.270812830188678,6.324299245283019
14,0.0003888888888888889,14.2255,8.438,8.198979550918219,10.486603400611239,9.980887122458014,0.6114184279649463,7.613083773584906,6.245730943396226,10.343955849056604,11.584341509433962,16.250721509433962,6.325822264150943
15,0.0004166666666666667,14.2255,8.438,8.115481487630602,10.541631333765384,9.88089334549073,0.6125340299624424,7.614425471698113,6.255268867924528,10.355016981132076,11.578430188679246,16.230630188679246,6.327345283018867
16,0.00044444444444444447,14.2255,8.438,8.031983424342984,10.596659266919527,9.780899568523445,0.6136496319599385,7.6157671698113205,6.26480679245283,10.366078113207548,11.572518867924527,16.21053886792453,6.328868301886792
17,0.00047222222222222224,14.2255,8.438,7.948485361055366,10.65168720007367,9.68090579155616,0.6147652339574345,7.617108867924529,6.2743447169811315,10.37713924528302,11.566607547169811,16.19044754716981,6.330391320754717
18,0.0005,14.2255,8.438,7.864987297767748,10.706715133227815,9.581431968535657,0.6250101611746343,7.618450566037736,6.283882641509433,10.38820037735849,11.560696226415093,16.170356226415095,6.331914339622641
19,0.0005277777777777778,14.2255,8.438,7.78148923448013,10.761743066381959,9.481958145515154,0.635255088391834,7.619792264150943,6.293420566037736,10.399261509433963,11.554784905660377,16.150264905660375,6.333437358490566
20,0.0005555555555555556,14.2255,8.438,7.697991171192513,10.816770999536104,9.382484322494651,0.6455000156090337,7.621133962264151,6.302958490566037,10.410322641509435,11.54887358490566,16.13017358490566,6.334960377358491
21,0.0005833333333333334,14.2255,8.438,7.668531678184317,10.912333221526282,9.283010499474148,0.6557449428262334,7.622475660377359,6.31249641509434,10.421383773584907,11.542962264150944,16.110082264150943,6.336483396226415
22,0.0006111111111111111,14.2255,8.438,7.639072185176122,11.00789544351646,9.183536676453645,0.6659898700434331,7.623817358490566,6.3220343396226415,10.432444905660377,11.537050943396226,16.089990943396227,6.338006415094339
23,0.0006388888888888889,14.2255,8.438,7.609612692167926,11.103457665506639,9.084062853433142,0.6762347972606328,7.625159056603774,6.331572264150943,10.44350603773585,11.53113962264151,16.06989962264151,6.339529433962264
24,0.0006666666666666668,14.2255,8.438,7.580153199159731,11.199019887496817,8.98458903041264,0.6864797244778326,7.6265007547169805,6.341110188679245,10.45456716981132,11.525228301886793,16.04980830188679,6.341052452830189
25,0.0006944444444444445,14.2255,8.438,7.5506937061515345,11.294582109486996,8.885115207392136,0.6967246516950323,7.627842452830189,6.350648113207546,10.465628301886793,11.519316981132077,16.029716981132076,6.3425754716981135
26,0.0007222222222222223,14.2255,8.438,7.591580625749762,11.385841409318674,8.785641384371633,0.706969578912232,7.629184150943396,6.360186037735849,10.476689433962266,11.513405660377359,16.00962566037736,6.344098490566038
27,0.00075,14.2255,8.438,7.632467545347989,11.477100709150353,8.68616756135113,0.7172145061294317,7.630525849056603,6.3697239622641515,10.487750566037736,11.50749433962264,15.989534339622642,6.345621509433962
28,0.0007777777777777778,14.2255,8.438,7.673354464946216,11.568360008982031,8.586693738330627,0.7274594333466313,7.631867547169811,6.379261886792452,10.498811698113208,11.501583018867924,15.969443018867926,6.347144528301887
29,0.0008055555555555556,14.2255,8.438,7.714241384544445,11.65961930881371,8.487219915310124,0.737704360563831,7.633209245283018,6.388799811320754,10.509872830188678,11.495671698113206,15.949351698113208,6.3486675471698115
