step,time_hours,time_seconds,time_minutes,Explore-Inner_x_m,Explore-Inner_y_m,Explore-Inner_mode,Explore-Inner_charge_station_id,Explore-Mid_x_m,Explore-Mid_y_m,Explore-Mid_mode,Explore-Mid_charge_station_id,Explore-Outer_x_m,Explore-Outer_y_m,Explore-Outer_mode,Explore-Outer_charge_station_id,Drone-3m_x_m,Drone-3m_y_m,Drone-3m_mode,Drone-3m_charge_station_id,Drone-6m_x_m,Drone-6m_y_m,Drone-6m_mode,Drone-6m_charge_station_id,Drone-9m_x_m,Drone-9m_y_m,Drone-9m_mode,Drone-9m_charge_station_id
32,0.0008888888888888889,3.2,0.05333333333333334,14.2255,8.438,WAIT_PV,-1,7.860362213662736,11.920954545471039,WORK,-1,8.188798446248615,0.7684391422154302,WORK,-1,7.6372343396226405,6.417413584905661,WORK,-1,10.543056226415093,11.477937735849057,WORK,-1,15.889077735849057,6.353236603773585,WORK,-1
33,0.0009166666666666668,3.3000000000000003,0.05500000000000001,14.2255,8.438,WAIT_PV,-1,7.912979168422767,12.005992513883864,WORK,-1,8.089324623228112,0.7786840694326299,WORK,-1,7.638576037735849,6.4269515094339615,WORK,-1,10.554117358490565,11.472026415094339,WORK,-1,15.86898641509434,6.3547596226415095,WORK,-1
34,0.0009444444444444445,3.4,0.056666666666666664,14.2255,8.438,WAIT_PV,-1,7.965596123182799,12.091030482296691,WORK,-1,7.9979,0.7881,WORK,-1,7.639917735849056,6.436489433962264,WORK,-1,10.565178490566037,11.466115094339623,WORK,-1,15.848895094339623,6.356282641509434,WORK,-1
35,0.0009722222222222223,3.5000000000000004,0.05833333333333334,14.2255,8.438,WAIT_PV,-1,8.01821307794283,12.176068450709517,WORK,-1,7.900885749985466,0.8123535625036333,WORK,-1,7.641259433962263,6.446027358490565,WORK,-1,10.57623962264151,11.460203773584906,WORK,-1,15.828803773584907,6.357805660377359,WORK,-1
36,0.001,3.6,0.060000000000000005,14.2255,8.438,WAIT_PV,-1,8.03528781556914,12.274599934687952,WORK,-1,7.803871499970933,0.8366071250072666,WORK,-1,7.642601132075471,6.455565283018867,WORK,-1,10.587300754716981,11.454292452830188,WORK,-1,15.80871245283019,6.359328679245284,WORK,-1
37,0.0010277777777777778,3.7,0.06166666666666667,14.2255,8.438,WAIT_PV,-1,8.052362553195447,12.373131418666388,WORK,-1,7.7068572499564,0.8608606875109,WORK,-1,7.643942830188679,6.46510320754717,WORK,-1,10.598361886792452,11.44838113207547,WORK,-1,15.788621132075471,6.360851698113208,WORK,-1
38,0.0010555555555555557,3.8000000000000003,0.06333333333333334,14.2255,8.438,WAIT_PV,-1,8.069437290821757,12.471662902644823,WORK,-1,7.609842999941867,0.8851142500145333,WORK,-1,7.645284528301886,6.474641132075471,WORK,-1,10.609423018867924,11.442469811320754,WORK,-1,15.768529811320755,6.362374716981131,WORK,-1
39,0.0010833333333333333,3.9,0.065,14.2255,8.438,WAIT_PV,-1,8.086512028448064,12.570194386623259,WORK,-1,7.512828749927333,0.9093678125181666,WORK,-1,7.646626226415094,6.484179056603773,WORK,-1,10.620484150943396,11.436558490566037,WORK,-1,15.748438490566038,6.363897735849056,WORK,-1
40,0.0011111111111111111,4.0,0.06666666666666667,14.2255,8.438,WAIT_PV,-1,8.103586766074374,12.668725870601694,WORK,-1,7.4158144999128,0.9336213750217999,WORK,-1,7.647967924528301,6.493716981132075,WORK,-1,10.631545283018868,11.430647169811321,WORK,-1,15.728347169811322,6.365420754716981,WORK,-1
41,0.001138888888888889,4.1000000000000005,0.06833333333333334,14.2255,8.438,WAIT_PV,-1,8.02305948897245,12.728016322131008,WORK,-1,7.318800249898267,0.9578749375254332,WORK,-1,7.649309622641509,6.503254905660377,WORK,-1,10.64260641509434,11.424735849056603,WORK,-1,15.708255849056604,6.3669437735849055,WORK,-1
